Aalte1	Alternaria_alternata_BMP0270
Aaoar1	Aaosphaeria_arxii_CBS_175.79_v1.0
Abobi1	Abortiporus_biennis_CCBS_521_v1.0
Abobie1	Abortiporus_biennis_CIRM-BRFM_1778_v1.0
Abscae1	Absidia_caerulea_NRRL1315_v1.0
Absrep1	Absidia_repens_NRRL_1336_v1.0
Acain1	Acaromyces_ingoldii_MCA_4198_v1.0
Acastr1	Acarospora_strigata_CBS_132363
Acema1	Acephala_macrosclerotiorum_EW76-UTF0540_v1.0
Achma1	Achaetomium_macrosporum_CBS_532.94_v1.0
Achstr1	Achaetomium_strumarium_CBS333.67_v1.0
Aciaci1	Acidothrix_acidophila_CBS_136259_v1.0
Aciri1_iso	Acidomyces_richmondensis_BFW
Aciri1_meta	Acidomyces_richmondensis_BFW_metagenome-extracted
Acral2	Sodiomyces_alcalophilus_v2.0
Acrchr1	Acremonium_chrysogenum_ATCC_11550
AcreTS7_1	Emericellopsis_sp._TS7_v1.0
Acrmed1	Acrocalymma_medigans_LGMF1605_v1.0
Acrst1	Acremonium_strictum_DS1bioAY4a_v1.0
Acrth1	Phialemonium_thermophilum_ATCC_24622
Acrvag1	Acrocalymma_vagum_DSE3081_v1.0
Agabi_varbisH97_2	Agaricus_bisporus_var_bisporus_H97_v2.0
Agabi_varbur_1	Agaricus_bisporus_var._burnettii_JB137-S8
Agahy1	Agaricostilbum_hyphaenes_ATCC_MYA-4628_v1.0
AgarPMI687_1	Stephanosporaceae_sp._PMI_697_v1.0
Agrped1	Agrocybe_pediades_AH_40210_v1.0
Agrpra2	Agrocybe_praecox_OKM6292_v1.0
Alalt1	Alternaria_alternata_ATCC11680
Alalte1	Alternaria_alternata_ATCC66891
Albpec1	Xanthoporus_peckianus_DAOM_52321_v1.0
Albra1	Alternaria_brassicicola_ATCC96836
Alikh1	Aliquandostipite_khaoyaiensis_CBS_118232_v1.0
Allma1	Allomyces_macrogynus_ATCC_38327
Altal1	Alternaria_alternata_SRC1lrK2f_v1.0
Altalt1	Alternaria_alternata_MPI-PUGE-AT-0064_v1.0
Altar1	Alternaria_arborescens_BMP0308
Altbr1	Alternaria_brassicicola
Altca1	Alternaria_capsici_BMP0180
Altcar1	Alternaria_carthami_BMP1963
Altci1	Alternaria_citriarbusti_BMP2343
Altcr1	Alternaria_crassa_BMP0172
Altda1	Alternaria_dauci_BMP0167
Altfr1	Alternaria_fragaria_BMP3062
Altga1	Alternaria_gaisen_BMP2338
Altli1	Alternaria_limoniasperae_BMP2335
Altlo1	Alternaria_longipes_BMP0313
Altma1	Alternaria_macrospora_BMP1949
Altpo1	Alternaria_porri_BMP0178
Altro1	Alternaria_rosae_MPI-PUGE-AT-0040_v1.0
Altso1	Alternaria_solani_BMP0185
Altsp012_1	Alternaria_sp._UNIPAMPA012_v1.0
Altsp017_1	Alternaria_sp._UNIPAMPA017_v1.0
Altta1	Alternaria_tangelonis_BMP2327
Altte1	Alternaria_tenuissima_BMP0304
Alttom1	Alternaria_tomatophila_BMP2032
Amaapr1	Amanita_muscaria_var._formosa_2016PMI152_v1.0
Amal3063	Alternaria_mali_BMP3063
Amal3064	Alternaria_mali_BMP3064
Amamu1	Amanita_muscaria_Koide_v1.0
Amapyr1	Amanita_aff._conicoverrucosa_KIS12_v1.0
Amarub1	Amanita_rubescens_Pilba_v1.0
Amath1	Amanita_thiersii_Skay4041_v1.0
Ambph1	Ambrosiozyma_philentoma_NRRL_Y-7523
Amnli1	Amniculicola_lignicola_CBS_123094_v1.0
Amore1	Amorphotheca_resinae_v1.0
Ampqui1	Ampelomyces_quisqualis_HMLAC05119_v1.0
AmpWSBS2006_1	Amphiamblys_sp._WSBS2006
Amycha1	Amylostereum_chailletii_DWAch2_v1.0
Amyenc1	Amylocarpus_encephaloides_TRa018bII_v1.0
Amylap1_1	Amylocystis_lapponica_SKaAmylap13_v1.0
Amyrou1	Amylomyces_rouxii_NRRL_5866_v1.0
Amysub1	Amylocorticium_subincarnatum_OMC1654_v1.0
Anasp1	Anaeromyces_robustus_v1.0
AnFL0455	Annulohypoxylon_sp._FL0455_v1.0
Annbov1	Annulohypoxylon_bovei_var._microspora_CBS_124037_v1.0
Annmae1	Annulohypoxylon_maeteangense_CBS_123835_v1.0
Annmin1	Annulohypoxylon_minutellum_CBS_135445_v1.0
Annmor1	Annulohypoxylon_moriforme_CBS_123579_v1.0
Annnit1	Annulohypoxylon_nitens_CBS_120705_v1.0
Annsty1	Annulohypoxylon_stygium_FL0470_v1.0
Anntru1	Annulohypoxylon_truncatum_CBS_140777_v1.0
Anoalb1	Anomoloma_albolutescens_OMC1655_v1.0
Anobom1	Anomoporia_bombycina_ATCC_64506_v1.0
Anokam1	Anomoporia_kamtschatica_OMC1758_v1.0
Anomyc1	Anomoporia_myceliosa_MJL_4413_v1.0
Ant016_1	Antarctomyces_sp._UNIPAMPA016_v1.0
Antav1	Anthostoma_avocetta_NRRL_3190_v1.0
Antcit1	Antrodiella_citrinella_FBCC_969_v1.0
Antleu1	Anthostomella_leucospermi_CBS110126_v1.0
Antlo1	Antonospora_locustae_HM-2013
Antser1	Antrodia_serialis_Sig1Antser10_v1.0
Antsi1	Antrodia_sinuosa_LB1_v1.0
Antsp2	Anthracobia_sp._CZU_v1.0
Anttom1	Anthostomella_tomicoides_1013_v1.0
Aphpse1	Aphanobasidium_pseudotsugae_OMC1630_v1.0
Apibac1	Apiosordaria_backusii_CBS_540.89_v1.0
Apimo1	Apiospora_montagnei_NRRL_25634_v1.0
Apiver1	Apiosordaria_verruculosa_CBS_315.58_v1.0
Aplpr1	Aplosporella_prunicola_CBS_121.167_v1.0
Apope1	Apodospora_peruviana_CBS_118394_v1.0
Aqupat1	Aquilomyces_patris_DSE4099_v1.0
Armbor1	Armillaria_borealis_FPL87.14_v1.0
Armcep1	Armillaria_cepistipes_B5
Armect1	Armillaria_ectypa_FPL83.16_v1.0
Armfum1	Armillaria_fumosa_CBS_122221_v1.0
Armga1	Armillaria_gallica_21-2_v1.0
Armlut1	Armillaria_luteobubalina_HWK02_v1.0
Armme1_1	Armillaria_mellea_DSM_3731
Armmel1	Armillaria_mellea_ELDO17_v1.0
Armnab1	Armillaria_nabsnona_CMW6904_v1.0
Armnov1	Armillaria_novae-zelandiae_2840_v1.0
Armost1	Armillaria_solidipes_28-4_v1.0
Armosto1	Armillaria_ostoyae_C189
Armtab1	Armillaria_tabescens_CCBAS_213_v1.0
Artbe1	Arthroderma_benhamiae_CBS_112371
Artel1	Artolenzites_elegans_CIRM-BRFM_1663_v1.0
Artele1122_1	Artolenzites_elegans_CIRM-BRFM_1122_v1.0
Artesp1	Arthrinium_esporlense_UNIPAMPA010_v1.0
Artfe1_2	Arthroascus_fermentans_17710_v1.0
Artol1	Arthrobotrys_oligospora_ATCC_24927
Arxad1	Blastobotrys_Arxula_adeninivorans
Ascap1	Ascosphaera_apis_ARSEF_7405
Ascim1	Ascobolus_immersus_RN42_v1.0
Ascni1	Ascodesmis_nigricans_CBS_389.68_v1.0
Ascra1	Ascochyta_rabiei_ArDII
Ascru1	Ascoidea_rubescens_NRRL_Y17699_v1.0
Ascsa1	Ascocoryne_sarcoides_NRRL50072
Ashgo1_1	Eremothecium_gossypii_ATCC_10895
Asoarc1	Asordaria_arctica_CBS_143.68_v1.0
Aspac1	Aspergillus_aculeatus_ATCC16872_v1.1
Aspacri1	Aspergillus_acristatulus_CBS_119.55_v1.0
Aspacu1	Aspergillus_aculeatinus_CBS_121060_v1.0
Aspaff1	Aspergillus_affinis_CBS_129190_v1.0
Aspala1	Aspergillus_alabamensis_v1.0
Aspalbe1	Aspergillus_albertensis_v1.0
Aspall1	Aspergillus_allahabadii_v1.0
Aspalli1	Aspergillus_alliaceus_CBS_536.65_v1.0
Aspamb1	Aspergillus_ambiguus_v1.0
Aspamoe1	Aspergillus_amoeneus_CBS_111.32_v1.0
Aspamy1	Aspergillus_amylovorus_CBS_600.67_v1.0
Aspang1	Aspergillus_angustatus_CBS_273.65_v1.0
Aspapp1	Aspergillus_appendiculatus_CBS_374.75_v1.0
Aspara19utr	Aspergillus_arachidicola_v1.0
Aspare1	Aspergillus_arenarioides_CBS_138200_v1.0
Asparx1	Aspergillus_arxii_CBS_52583_v1.0
Aspass1	Aspergillus_assulatus_CBS_27911_v1.0
Aspaste1	Aspergillus_astellatus_v1.0
Aspaur1	Aspergillus_aureoterreus_v1.0
Aspaura1	Aspergillus_aurantiobrunneus_CBS_465.65_v1.0
Aspauran1	Aspergillus_aurantiopurpureus_v1.0
Aspaurful1	Aspergillus_aureofulgens_IBT_27100_v1.0
Aspaurlat1	Aspergillus_aureolatus_CBS_190.65_v1.0
Aspaurlut1	Aspergillus_aureoluteus_CBS_105.55_v1.0
Aspaus1	Aspergillus_austroafricanus_IBT_32289_v1.0
Aspave1	Aspergillus_avenaceus_IBT_18842_v1.0
Aspber1	Aspergillus_bertholletius_IBT_29228_v1.0
Aspbic1	Aspergillus_bicolor_CBS425.77_v1.0
Aspbip1	Aspergillus_biplanus_CBS_468.65_v1.0
Aspbisp1	Aspergillus_bisporus_CBS_707.71_v1.0
Aspbom1	Aspergillus_bombycis_NRRL_26010
Aspbot1	Aspergillus_botucatensis_CBS_114221_v1.0
Aspbr1	Aspergillus_brasiliensis_v1.0
Aspbre1	Aspergillus_brevipes_CBS_118.53_v1.0
Aspbrev1	Aspergillus_brevijanus_CBS_111.46_v1.0
Aspbrevi1	Aspergillus_brevistipitatus_v1.0
Aspbru1	Aspergillus_brunneoviolaceus_CBS_621.78_v1.0
Aspca11822_1	Aspergillus_carbonarius_ITEM_11822_v1.0
Aspca12550_1	Aspergillus_carbonarius_ITEM_12550_v1.0
Aspca3	Aspergillus_carbonarius_ITEM_5010_v3
Aspca4	Aspergillus_carbonarius_ITEM_5010_v4.0
Aspca4_1	Aspergillus_carbonarius_ITEM_5010_v4.1
Aspcae1	Aspergillus_caelatus_CBS_763.97_v1.0
Aspcaesp1	Aspergillus_caespitosus_CBS_103.45_v1.0
Aspcal1	Aspergillus_calidoustus
Aspcali1	Aspergillus_calidoustus_CBS_113228_v1.0
Aspcalif1	Aspergillus_californicus_CBS_123895_v1.0
Aspcam1	Aspergillus_campestris_IBT_28561_v1.0
Aspcand1	Aspergillus_candidus_CBS_102.13_v1.0
Aspcanin1	Aspergillus_caninus_CBS_128032_v1.0
Aspcap1	Aspergillus_capensis_CBS_138188_v1.0
Aspcapp1	Aspergillus_caperatus_DTO_337-E6_v1.0
Aspcar1	Aspergillus_carlsbadensis_CBS_123894_v1.0
Aspcej1	Aspergillus_cejpii_CBS_157.66_v1.0
Aspcer1	Aspergillus_cervinus_CBS_196.64_v1.0
Aspchev1	Aspergillus_chevalieri_CBS_522.65_v1.0
Aspchr1	Aspergillus_chrysellus_CBS_472.65_v1.0
Aspchris1	Aspergillus_christenseniae_CBS_411.64_v1.0
Aspcib1	Aspergillus_cibarius_DTO_197-D3_v1.0
Aspcl1	Aspergillus_clavatus_NRRL_1_from_AspGD
Aspcla1	Aspergillus_clavatonanicus_v1.0
Aspcle1	Aspergillus_cleistominutus_CBS_200.75_v1.0
Aspcon1	Aspergillus_conjunctus_CBS_476.65_v1.0
Aspcor1	Aspergillus_coremiiformis_CBS_553.77_v1.0
Aspcorea1	Aspergillus_coreanus_CBS_117059_v1.0
Aspcorr1	Aspergillus_corrugatus_CBS_191.77_v1.0
Aspcos1	Aspergillus_costaricaensis_CBS_115574_v1.0
Aspcost1	Aspergillus_costiformis_CBS_101749_v1.0
